Rec #,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Latitude,Longitude,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined
1,10586847,105094233,A & W,Restaurant,650 1/2 QUEEN ST W,43.64684,-79.40643,Pass,2,,01/03/2023,,,,
2,10484226,105094284,AMIGOS DA DUNDAS SPORTS BAR,Cocktail Bar / Beverage Room,1570 DUNDAS ST W,43.6498,-79.43427,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,01/03/2023,S - Significant,Corrected During Inspection,,
3,10484226,105094284,AMIGOS DA DUNDAS SPORTS BAR,Cocktail Bar / Beverage Room,1570 DUNDAS ST W,43.6498,-79.43427,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/03/2023,S - Significant,Corrected During Inspection,,
4,10381232,105093590,BOBBETTE & BELLE INC.,Bakery,1121 QUEEN ST E,43.66202,-79.3348,Pass,3,,01/03/2023,,,,
5,10757156,105091093,BOM DIA CAFE & BAKERY,Food Take Out,"1205 QUEEN ST W, Unit-3",43.64188,-79.42892,Pass,2,SANITIZE UTENSILS USING AGENT FOR WHICH TEST REAGENT NOT READILY AVAILABLE - SEC. 19(E)(III) ,01/03/2023,S - Significant,Corrected During Inspection,,
6,10757156,105091093,BOM DIA CAFE & BAKERY,Food Take Out,"1205 QUEEN ST W, Unit-3",43.64188,-79.42892,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
7,10771263,105094318,BROCKTON VILLAGE BAKERY,Restaurant,1566 DUNDAS ST W,43.64992,-79.43412,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,01/03/2023,S - Significant,Corrected During Inspection,,
8,10771263,105094318,BROCKTON VILLAGE BAKERY,Restaurant,1566 DUNDAS ST W,43.64992,-79.43412,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/03/2023,S - Significant,Corrected During Inspection,,
9,10771263,105094318,BROCKTON VILLAGE BAKERY,Restaurant,1566 DUNDAS ST W,43.64992,-79.43412,Pass,2,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),01/03/2023,M - Minor,Corrected During Inspection,,
10,10624696,105093839,BROTHER'S CONVENIENCE,Food Store (Convenience/Variety),"2231 VICTORIA PARK AVE, Unit-1",43.76187,-79.31662,Pass,1,,01/03/2023,,,,
11,10662559,105094227,CAFE23,Restaurant,728 QUEEN ST W,43.64621,-79.40937,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,01/03/2023,S - Significant,Corrected During Inspection,,
12,10662559,105094227,CAFE23,Restaurant,728 QUEEN ST W,43.64621,-79.40937,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
13,10662559,105094227,CAFE23,Restaurant,728 QUEEN ST W,43.64621,-79.40937,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,01/03/2023,NA - Not Applicable,Notice to Comply,,
14,10723242,105093039,CCSAI FOOD BANK,Food Bank,941 PROGRESS AVE,43.78527,-79.22703,Pass,1,,01/03/2023,,,,
15,10767534,105094369,CHARTWELL SCARLETT HEIGHTS RETIREMENT RESIDENCE,Retirement Homes(Licensed),4005 EGLINTON AVE W,43.68268,-79.51974,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
16,10711662,105094468,CHECK-IN CORNER,Food Take Out,3930 KEELE ST,43.76291,-79.49126,Pass,2,,01/03/2023,,,,
17,10427172,105094554,CHIPOTLE MEXICAN GRILL,Food Court Vendor,"3401 DUFFERIN ST, Unit-FC04",43.72608,-79.45147,Pass,3,,01/03/2023,,,,
18,10727418,105094209,CHUNGCHUN RICE DOG,Food Take Out,"3250 MIDLAND AVE, Unit-G112",43.80514,-79.28761,Pass,2,Fail to protect food from contamination or adulteration - Sec. 26(1) ,01/03/2023,C - Crucial,Notice to Comply,,
19,10727418,105094209,CHUNGCHUN RICE DOG,Food Take Out,"3250 MIDLAND AVE, Unit-G112",43.80514,-79.28761,Pass,2,Fail to provide handwashing stations with adequate supplies (hot and cold water) - Sec. 7(3)(c),01/03/2023,S - Significant,Notice to Comply,,
20,9005593,105094547,"CHURCH OF ST. JUDE, WEXFORD - FOOD BANK",Food Depot,10 HOWARTH AVE,43.73873,-79.30597,Pass,1,,01/03/2023,,,,
21,10550966,105094666,COBS BREAD,Bake Shop,156 DANFORTH AVE,43.6767,-79.35751,Pass,2,,01/03/2023,,,,
22,10757653,105094338,COCO'S,Restaurant,668 COLLEGE ST,43.65529,-79.41667,Pass,2,,01/03/2023,,,,
23,9003710,105093327,CRAIGLEE NURSING HOME,Nursing Home / Home for the Aged,102 CRAIGLEE DR,43.70691,-79.25307,Pass,3,,01/03/2023,,,,
24,10446905,105094576,Charcoal Kebab House,Restaurant,3256 LAWRENCE AVE E,43.75731,-79.2386,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
25,10446905,105094576,Charcoal Kebab House,Restaurant,3256 LAWRENCE AVE E,43.75731,-79.2386,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
26,10446905,105094576,Charcoal Kebab House,Restaurant,3256 LAWRENCE AVE E,43.75731,-79.2386,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN CEILING IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
27,10446905,105094576,Charcoal Kebab House,Restaurant,3256 LAWRENCE AVE E,43.75731,-79.2386,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
28,10582875,105093909,Convenience C-Market,Food Store (Convenience/Variety),1943 VICTORIA PARK AVE,43.74924,-79.31196,Pass,1,,01/03/2023,,,,
29,10295683,105094349,DAIRY QUEEN ORANGE JULIUS,Food Take Out,280 SPADINA AVE,43.65261,-79.39803,Pass,2,Fail to protect against entry of pests - Sec. 13(1),01/03/2023,M - Minor,Notice to Comply,,
30,10295683,105094349,DAIRY QUEEN ORANGE JULIUS,Food Take Out,280 SPADINA AVE,43.65261,-79.39803,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/03/2023,M - Minor,Notice to Comply,,
31,10357726,105093865,DARK HORSE ESPRESSO BAR,Food Take Out,215 SPADINA AVE,43.65071,-79.39672,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
32,10304251,105094159,ELITE BANQUET HALLS & CONVENTION CENTRE,Banquet Facility,"1850 ALBION RD, Unit-9-13",43.7465,-79.61542,Pass,3,,01/03/2023,,,,
33,10453242,105094489,FIVE GUYS BURGERS AND FRIES,Restaurant,"148 NORTH QUEEN ST, Unit-G5",43.6195,-79.55384,Pass,2,,01/03/2023,,,,
34,10611884,105094257,FLOCK ROTISSERIE+GREENS,Food Take Out,"661 UNIVERSITY AVE, Bldg-104",43.65946,-79.38955,Pass,2,,01/03/2023,,,,
35,10753545,105093862,FRESHWEST GRILL,Food Court Vendor,"100 YONGE ST, Unit-Y8A",43.64978,-79.37851,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
36,10771306,105094581,IMPERFECT FRESH EATS,Food Take Out,"808 YORK MILLS RD, Unit-A01020A",43.75364,-79.35785,Pass,2,,01/03/2023,,,,
37,10603648,105093041,INTERNATIONAL NEWS,Food Store (Convenience/Variety),941 PROGRESS AVE,43.78527,-79.22703,Pass,1,,01/03/2023,,,,
38,10741333,105094366,JAY BHAVANI VADAPAV,Restaurant,"1630 ALBION RD, Unit-3",43.74198,-79.59313,Pass,2,,01/03/2023,,,,
39,10764816,105094157,KIM'S NOODLE,Restaurant,1549 STEELES AVE E,43.80562,-79.38437,Pass,3,,01/03/2023,,,,
40,10402910,105094421,KING'S VEGETARIAN FOOD,Food Store (Convenience/Variety),4385 SHEPPARD AVE E,43.78644,-79.26992,Pass,2,,01/03/2023,,,,
41,10739655,105094189,KONJIKI RAMEN & SARYO CAFE,Restaurant,"3401 DUFFERIN ST, Unit-601C",43.72608,-79.45147,Pass,3,THERMOMETER IN REFRIGERATION EQUIPMENT NOT EASILY READABLE - SEC. 30(B)    ,01/03/2023,S - Significant,Corrected During Inspection,,
42,10739655,105094189,KONJIKI RAMEN & SARYO CAFE,Restaurant,"3401 DUFFERIN ST, Unit-601C",43.72608,-79.45147,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/03/2023,M - Minor,Notice to Comply,,
43,10739655,105094189,KONJIKI RAMEN & SARYO CAFE,Restaurant,"3401 DUFFERIN ST, Unit-601C",43.72608,-79.45147,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
44,10739655,105094189,KONJIKI RAMEN & SARYO CAFE,Restaurant,"3401 DUFFERIN ST, Unit-601C",43.72608,-79.45147,Pass,3,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/03/2023,S - Significant,Corrected During Inspection,,
45,10722519,105094086,MAMMA'S PIZZA,Restaurant,"808 YORK MILLS RD, Unit-31",43.75364,-79.35785,Pass,2,,01/03/2023,,,,
46,10695893,105091094,MATT'S BURGER LAB,Food Take Out,"1205 QUEEN ST W, Unit-4",43.64188,-79.42892,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
47,10695893,105091094,MATT'S BURGER LAB,Food Take Out,"1205 QUEEN ST W, Unit-4",43.64188,-79.42892,Pass,2,Use pallets not of readily cleanable design - Sec. 31,01/03/2023,M - Minor,Notice to Comply,,
48,10771305,105094577,MOMO GHAR - TABI,Restaurant,568 PARLIAMENT ST,43.66742,-79.36943,Pass,2,Food premise not maintained with walls in good repair in food-handling room - Sec. 7(1)(g)  ,01/03/2023,M - Minor,Notice to Comply,,
49,10667735,105094185,OLLY FRESCO'S,Food Take Out,88 QUEENS QUAY W,43.64085,-79.37871,Pass,3,,01/03/2023,,,,
50,10714718,105093979,ONO POKE BAR,Food Take Out,"100 WESTERN BATTERY RD, Unit-2",43.63963,-79.4158,Pass,2,USE EQUIPMENT NOT SUITABLE FOR INTENDED PURPOSE - SEC. 8(1)(D)  ,01/03/2023,S - Significant,Corrected During Inspection,,
51,10683202,105094569,PAUL'S ROTI SHOP,Restaurant,"563 SHERBOURNE ST, #19&20",43.66925,-79.37514,Pass,2,,01/03/2023,,,,
52,10489859,105094400,PITA LAND,Restaurant,1841 FINCH AVE W,43.75778,-79.51437,Pass,2,,01/03/2023,,,,
53,10618233,105094241,PIZZA NOVA,Restaurant,3928 KEELE ST,43.76291,-79.49126,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
54,10618233,105094241,PIZZA NOVA,Restaurant,3928 KEELE ST,43.76291,-79.49126,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/03/2023,S - Significant,Corrected During Inspection,,
55,9012230,105094510,PIZZA PIZZA,Food Take Out,297 WELLESLEY ST E,43.66808,-79.37,Pass,2,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),01/03/2023,M - Minor,Corrected During Inspection,,
56,10372133,105093983,PIZZA PIZZA,Restaurant,208 QUEENS QUAY W,43.63987,-79.38142,Pass,2,,01/03/2023,,,,
57,10676032,105094470,SNOW TEA,Bakery,"3250 MIDLAND AVE, Unit-G113",43.80514,-79.28761,Pass,2,THERMOMETER IN REFRIGERATION EQUIPMENT NOT EASILY READABLE - SEC. 30(B)    ,01/03/2023,S - Significant,Corrected During Inspection,,
58,10546086,105094020,ST. LOUIS BAR AND GRILL,Restaurant,808 YORK MILLS RD,43.75364,-79.35785,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
59,10546086,105094020,ST. LOUIS BAR AND GRILL,Restaurant,808 YORK MILLS RD,43.75364,-79.35785,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
60,10568609,105094259,STARBUCKS,Restaurant,661 UNIVERSITY AVE,43.65946,-79.38955,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/03/2023,S - Significant,Corrected During Inspection,,
61,10482767,105090912,STOP 17 VARIETY,Food Store (Convenience/Variety),2835 KINGSTON RD,43.7213,-79.23651,Pass,1,,01/03/2023,,,,
62,10756539,105094168,THE ACE HOTEL - ALDER & THE LOBBY,Restaurant,51 CAMDEN ST,43.64671,-79.39813,Pass,3,,01/03/2023,,,,
63,10527902,105072826,THE ENTERTAINMENT KITCHEN,Restaurant,1559 EGLINTON AVE W,43.69725,-79.44194,Pass,2,,01/03/2023,,,,
64,10597686,105072827,THE ENTERTAINMENT KITCHEN,Food Take Out,1561 EGLINTON AVE W,43.69725,-79.44207,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
65,10754472,105094477,THE LIME VIET AND THAI CUISINE,Restaurant,562 KIPLING AVE,43.61501,-79.52469,Pass,2,,01/03/2023,,,,
66,10431176,105094649,THE OXLEY,Restaurant,121 YORKVILLE AVE,43.67059,-79.39304,Pass,2,,01/03/2023,,,,
67,10511589,105089883,TIM HORTONS,Restaurant,2029 JANE ST,43.71564,-79.50679,Pass,2,,01/03/2023,,,,
68,10548608,105094191,TIM HORTONS,Food Take Out,120 BREMNER BLVD,43.64285,-79.38336,Pass,2,,01/03/2023,,,,
69,10637345,105094041,TIM HORTONS,Food Take Out,477 DUNDAS ST W,43.65305,-79.39711,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Notice to Comply,,
70,10637345,105094041,TIM HORTONS,Food Take Out,477 DUNDAS ST W,43.65305,-79.39711,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
71,10682217,105094282,TIM HORTONS,Restaurant,2281 KIPLING AVE,43.72837,-79.57447,Pass,2,,01/03/2023,,,,
72,10362480,105094463,TOKYO BAKERY,Bakery,4385 SHEPPARD AVE E,43.78644,-79.26992,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/03/2023,M - Minor,Notice to Comply,,
73,10586020,105093836,Tim Hortons,Food Take Out,3101 VICTORIA PARK AVE,43.79285,-79.33052,Pass,1,,01/03/2023,,,,
74,10548975,105094187,VILLA MADINA,Food Court Vendor,88 QUEENS QUAY W,43.64085,-79.37871,Pass,3,USE UTENSILS NOT SUITABLE FOR INTENDED PURPOSE - SEC. 8(1)(D)  ,01/03/2023,S - Significant,Corrected During Inspection,,
75,10680252,105093970,VITZ COFFEE & BAR,Restaurant,"80 WESTERN BATTERY RD, Unit-1",43.63987,-79.41491,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/03/2023,M - Minor,Notice to Comply,,
76,10680252,105093970,VITZ COFFEE & BAR,Restaurant,"80 WESTERN BATTERY RD, Unit-1",43.63987,-79.41491,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/03/2023,M - Minor,Notice to Comply,,
77,10426726,105094465,WAKAME SUSHI,Restaurant,"2625C WESTON RD, Unit-31",43.71256,-79.53318,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/03/2023,M - Minor,Ticket,Conviction - Fined,75
78,10550026,105094116,WENDY'S,Restaurant,1569 THE QUEENSWAY,43.61795,-79.54012,Pass,2,,01/03/2023,,,,
79,10726589,105093981,WILD WING,Restaurant,"1561 THE QUEENSWAY, Unit-1",43.618,-79.53936,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/03/2023,M - Minor,Notice to Comply,,
80,10605220,105093209,ACSA Food Bank,Food Bank,"1911 KENNEDY RD, Unit-105",43.76744,-79.28058,Pass,1,,01/04/2023,,,,
81,10613146,105094918,AMANO ITALIAN KITCHEN,Restaurant,"65 FRONT ST W, Unit-374",43.64528,-79.38049,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/04/2023,M - Minor,Corrected During Inspection,,
82,10692008,105094827,AMBIYAN ON YONGE,Restaurant,1560 YONGE ST,43.68969,-79.39513,Pass,3,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,01/04/2023,NA - Not Applicable,Notice to Comply,,
83,10692008,105094827,AMBIYAN ON YONGE,Restaurant,1560 YONGE ST,43.68969,-79.39513,Pass,3,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),01/04/2023,M - Minor,Notice to Comply,,
84,10692008,105094827,AMBIYAN ON YONGE,Restaurant,1560 YONGE ST,43.68969,-79.39513,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/04/2023,M - Minor,Notice to Comply,,
85,9397780,105094987,BASKIN ROBBINS,Restaurant,1018 EGLINTON AVE W,43.70026,-79.43001,Pass,1,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,01/04/2023,NA - Not Applicable,Notice to Comply,,
86,10656892,105094760,BONE SOUP MALATANG,Restaurant,"5320 YONGE ST, Bldg-1",43.77324,-79.41424,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/04/2023,M - Minor,Notice to Comply,,
87,10656892,105094760,BONE SOUP MALATANG,Restaurant,"5320 YONGE ST, Bldg-1",43.77324,-79.41424,Pass,2,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),01/04/2023,M - Minor,Notice to Comply,,
88,10763638,105095050,BURGER KING,Restaurant,1448 LAWRENCE AVE E,43.74181,-79.31311,Pass,2,,01/04/2023,,,,
89,9030053,105094889,CARIBBEAN CUISINE DELIGHTS,Food Take Out,"1700 WILSON AVE, Unit-85",43.72097,-79.51253,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/04/2023,M - Minor,Notice to Comply,,
90,10435534,105089470,CASA DOS ACORES,Private Club,"1136 COLLEGE ST, Flr-2",43.65245,-79.43356,Pass,2,OPERATE FOOD PREMISE - MECHANICAL EQUIPMENT NOT MAINTAINED TO PROVIDE SUFFICIENT CHEMICAL SOLUTION RINSE - SEC. 20(1)(A)(II)(B) ,01/04/2023,S - Significant,Corrected During Inspection,,
91,10435534,105089470,CASA DOS ACORES,Private Club,"1136 COLLEGE ST, Flr-2",43.65245,-79.43356,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/04/2023,S - Significant,Corrected During Inspection,,
92,10322893,105088867,CHURRASQUEIRA ESTRELA,Food Take Out,2275 KEELE ST,43.70278,-79.47647,Pass,3,,01/04/2023,,,,
93,10555761,105095147,COCO FRESH TEA & JUICE,Restaurant,648 YONGE ST,43.6668,-79.38555,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/04/2023,M - Minor,Notice to Comply,,
94,10698825,105092089,COCO FRESH TEA& JUICE,Food Take Out,"85 ELLESMERE RD, Unit-6",43.7571,-79.31241,Pass,2,,01/04/2023,,,,
95,10403692,105095151,DIM SUM KING SEAFOOD RESTAURANT,Restaurant,421 DUNDAS ST W,43.65342,-79.39534,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/04/2023,M - Minor,Notice to Comply,,
96,10437876,105091830,DOLLARAMA,Food Store (Convenience/Variety),512 BLOOR ST W,43.66535,-79.41061,Pass,1,Fail to protect against entry of pests - Sec. 13(1),01/04/2023,M - Minor,Notice to Comply,,
97,10562234,105094916,DOWNSVIEW CHILD CARE CENTRE,Child Care - Food Preparation,159 SIR WILLIAM HEARST AVE,43.72338,-79.48691,Pass,3,,01/04/2023,,,,
98,9005022,105094796,EN VILLE EVENT DESIGN & CATERING,Food Caterer,"165 GEARY AVE, Unit-1",43.66985,-79.43622,Pass,3,Fail to maintain ventilation system to ensure elimination of fumes - Sec. 11,01/04/2023,M - Minor,Notice to Comply,,
99,10500399,105094643,FRESHII,Food Take Out,700 KING ST W,43.64391,-79.40318,Pass,2,,01/04/2023,,,,
100,10756555,105094838,FRETA FOOD & CONVENIENCE STORE,Supermarket,1721 EGLINTON AVE W,43.69625,-79.44672,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,01/04/2023,M - Minor,Notice to Comply,,
101,10756555,105094838,FRETA FOOD & CONVENIENCE STORE,Supermarket,1721 EGLINTON AVE W,43.69625,-79.44672,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,01/04/2023,NA - Not Applicable,Notice to Comply,,
102,10750838,105094852,GHOST KITCHENS,Commissary,3747 KEELE ST,43.75743,-79.48885,Pass,2,,01/04/2023,,,,
103,10393226,105094825,GRILL MASTER,Food Take Out,1700 WILSON AVE,43.72097,-79.51253,Pass,2,,01/04/2023,,,,
104,9006789,105095102,HASTY MARKET /FLAMING STOVE,Food Take Out,"21 DAVISVILLE AVE, Unit-1",43.69828,-79.39581,Pass,3,Fail to maintain ventilation system to ensure elimination of odours - Sec. 11,01/04/2023,M - Minor,Notice to Comply,,
105,9006789,105095102,HASTY MARKET /FLAMING STOVE,Food Take Out,"21 DAVISVILLE AVE, Unit-1",43.69828,-79.39581,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/04/2023,M - Minor,Notice to Comply,,
106,10697761,105095057,HOLIDAY INN - BAR THIRTY,Cocktail Bar / Beverage Room,30 CARLTON ST,43.66172,-79.38109,Pass,2,,01/04/2023,,,,
107,10697760,105095059,HOLIDAY INN - RESTAURANT,Restaurant,30 CARLTON ST,43.66172,-79.38109,Pass,2,,01/04/2023,,,,
108,10556231,105094681,IQ FOOD CO,Food Take Out,77 ADELAIDE ST W,43.64933,-79.38247,Pass,2,,01/04/2023,,,,
109,10771342,105094959,ISTANBUL FINE FOODS,Supermarket,"3715 KEELE ST, Unit-6",43.75624,-79.4889,Pass,3,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1),01/04/2023,C - Crucial,Notice to Comply,,
110,10771342,105094959,ISTANBUL FINE FOODS,Supermarket,"3715 KEELE ST, Unit-6",43.75624,-79.4889,Pass,3,Fail to protect food from contamination or adulteration - Sec. 26(1) ,01/04/2023,C - Crucial,Notice to Comply,,
111,10771342,105094959,ISTANBUL FINE FOODS,Supermarket,"3715 KEELE ST, Unit-6",43.75624,-79.4889,Pass,3,Operate food premise - fail to provide equipment for cleaning and sanitizing utensils as required - Sec. 18,01/04/2023,S - Significant,Notice to Comply,,
112,10291445,105094807,LE'S SANDWICH,Food Take Out,1119 COLLEGE ST,43.65238,-79.43333,Pass,2,,01/04/2023,,,,
113,10592415,105094805,LEBANON EXPRESS,Restaurant,1118 COLLEGE ST,43.65248,-79.43287,Pass,2,,01/04/2023,,,,
114,10763648,105095041,LEROS GRILL,Restaurant,"1448 LAWRENCE AVE E, Unit-7",43.74181,-79.31311,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,01/04/2023,M - Minor,Notice to Comply,,
115,10763648,105095041,LEROS GRILL,Restaurant,"1448 LAWRENCE AVE E, Unit-7",43.74181,-79.31311,Pass,3,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,01/04/2023,NA - Not Applicable,Notice to Comply,,
116,10667996,105094843,MA STARBANK,Food Store (Convenience/Variety),1736 EGLINTON AVE W,43.69657,-79.44773,Pass,2,,01/04/2023,,,,
117,10268400,105095032,MADE IN JAPAN TERIYAKI EXPERIENCE,Restaurant,"1900 EGLINTON AVE E, Unit-E3",43.72749,-79.29391,Pass,3,SANITIZE UTENSILS IN QUATERNARY AMMONIUM COMPOUND SOLUTION OF LESS THAN 200 P.P.M. - SEC. 19(C) ,01/04/2023,S - Significant,Corrected During Inspection,,
118,10268400,105095032,MADE IN JAPAN TERIYAKI EXPERIENCE,Restaurant,"1900 EGLINTON AVE E, Unit-E3",43.72749,-79.29391,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,01/04/2023,M - Minor,Notice to Comply,,
119,10268400,105095032,MADE IN JAPAN TERIYAKI EXPERIENCE,Restaurant,"1900 EGLINTON AVE E, Unit-E3",43.72749,-79.29391,Pass,3,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),01/04/2023,S - Significant,Corrected During Inspection,,
120,10771340,105094945,MASCOT BREWERY,Restaurant,37 ADVANCE RD,43.63352,-79.52766,Pass,2,Operate food premise - fail to provide equipment for cleaning and sanitizing utensils as required - Sec. 18,01/04/2023,S - Significant,Notice to Comply,,
121,10771340,105094945,MASCOT BREWERY,Restaurant,37 ADVANCE RD,43.63352,-79.52766,Pass,2,Fail to protect against entry of pests - Sec. 13(1),01/04/2023,M - Minor,Notice to Comply,,
