Rec #,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Latitude,Longitude,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined
14721,9012500,105174346,PRIDE IN HERITAGE CHILDREN'S CENTRE - NORTH YORK,Child Care - Catered,55 GATEWAY BLVD,43.71173,-79.33101,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/16/2023,M - Minor,Notice to Comply,,
14722,9012500,105174346,PRIDE IN HERITAGE CHILDREN'S CENTRE - NORTH YORK,Child Care - Catered,55 GATEWAY BLVD,43.71173,-79.33101,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,05/16/2023,M - Minor,Notice to Comply,,
14723,9012500,105174346,PRIDE IN HERITAGE CHILDREN'S CENTRE - NORTH YORK,Child Care - Catered,55 GATEWAY BLVD,43.71173,-79.33101,Pass,2,Fail to protect against harbouring of pests - Sec. 13(1),05/16/2023,S - Significant,Notice to Comply,,
14724,10718189,105174762,RICHVIEW CONVENIENCE,Food Store (Convenience/Variety),"1 RICHVIEW RD, Unit-A",43.68516,-79.51325,Pass,1,FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM EQUIPMENT NOT REGULARLY USED - SEC. 7(1)(F)   ,05/16/2023,M - Minor,Notice to Comply,,
14725,9012979,105174545,RIVIERA BAKERY,Bakery,"576 COLLEGE ST, Unit-1",43.65548,-79.41311,Pass,2,Fail to protect against entry of pests - Sec. 13(1),05/16/2023,M - Minor,Notice to Comply,,
14726,10568273,105174044,RUDY,Restaurant,619 COLLEGE ST,43.65492,-79.4148,Pass,2,Food premise not maintained with walls in good repair in food-handling room - Sec. 7(1)(g)  ,05/16/2023,M - Minor,Notice to Comply,,
14727,10568273,105174044,RUDY,Restaurant,619 COLLEGE ST,43.65492,-79.4148,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,05/16/2023,M - Minor,Notice to Comply,,
14728,10775821,105174841,SANUKI UDON,Restaurant,"20 CARLTON ST, Bldg-MAIN",43.66163,-79.38158,Pass,3,OPERATE FOOD PREMISE - MECHANICAL EQUIPMENT NOT MAINTAINED TO MAINTAIN WASH WATER BETWEEN 60 C AND 71 C - SEC. 20(1)(A)(I) ,05/16/2023,S - Significant,Notice to Comply,,
14729,10775821,105174841,SANUKI UDON,Restaurant,"20 CARLTON ST, Bldg-MAIN",43.66163,-79.38158,Pass,3,OPERATE FOOD PREMISE - MECHANICAL EQUIPMENT NOT MAINTAINED TO PROVIDE SUFFICIENT CHEMICAL SOLUTION RINSE - SEC. 20(1)(A)(II)(B) ,05/16/2023,S - Significant,Notice to Comply,,
14730,10456958,105174425,SATAY ON THE ROAD,Restaurant,1570 BAYVIEW AVE,43.7055,-79.37539,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,05/16/2023,M - Minor,Notice to Comply,,
